v/(nD)	v/(ΩR)	Ct	Cp	Cs	Tc	Pc	η	η*	stalled	v	rpm	Power	Thrust	Torque
[-]	[-]	[-]	[-]	[-]	[-]	[-]	[%]	[%]	[%]	[m/s]	[1/min]	[MW]	[kN]	[kNm]
6.100	1.942	0.157755	2.690901	5.004380	0.010796	0.030189	35.76	97.70	40.00	520.60	2400	9.297	6.3866	36.993
6.200	1.974	0.159803	2.757968	5.061437	0.010586	0.029468	35.92	97.68	40.00	529.13	2400	9.529	6.4695	37.915
6.300	2.005	0.161793	2.825698	5.118178	0.010381	0.028777	36.07	97.66	40.00	537.67	2400	9.763	6.5501	38.846
6.400	2.037	0.163723	2.894234	5.174558	0.010179	0.028115	36.20	97.64	33.00	546.20	2400	10.000	6.6282	39.788
6.500	2.069	0.165597	2.963520	5.230603	0.009981	0.027479	36.32	97.62	33.00	554.74	2400	10.239	6.7041	40.741
6.600	2.101	0.167411	3.033618	5.286299	0.009787	0.026870	36.42	97.60	33.00	563.27	2400	10.481	6.7775	41.704
6.700	2.133	0.169143	3.103926	5.341860	0.009595	0.026280	36.51	97.58	33.00	571.80	2400	10.724	6.8476	42.671
6.800	2.165	0.170814	3.174681	5.397205	0.009407	0.025711	36.59	97.57	25.00	580.34	2400	10.969	6.9153	43.644
6.900	2.196	0.172437	3.246290	5.452198	0.009223	0.025164	36.65	97.55	25.00	588.87	2400	11.216	6.9810	44.628
7.000	2.228	0.174019	3.318651	5.506882	0.009044	0.024638	36.71	97.54	25.00	597.41	2400	11.466	7.0451	45.623
7.100	2.260	0.175557	3.391779	5.561255	0.008868	0.024132	36.75	97.52	25.00	605.94	2400	11.719	7.1073	46.628
7.200	2.292	0.177052	3.465782	5.615291	0.008697	0.023645	36.78	97.50	17.00	614.48	2400	11.975	7.1678	47.646
7.300	2.324	0.178505	3.540523	5.669038	0.008530	0.023176	36.81	97.49	17.00	623.01	2400	12.233	7.2267	48.673
7.400	2.355	0.179923	3.616221	5.722433	0.008367	0.022725	36.82	97.48	17.00	631.55	2400	12.494	7.2841	49.714
7.500	2.387	0.181299	3.692584	5.775575	0.008208	0.022289	36.82	97.46	17.00	640.08	2400	12.758	7.3398	50.763
7.600	2.419	0.182632	3.769857	5.828390	0.008052	0.021869	36.82	97.45	9.00	648.61	2400	13.025	7.3938	51.826
7.620	2.426	0.182894	3.785417	5.838916	0.008021	0.021787	36.82	97.45	9.00	650.32	2400	13.079	7.4044	52.040
